WorkItemId,WorkItemName,RegressionCount
512501,HELPDESK 2023 - BDEF - PRD reserved holder needs to be unreserved ST235371,0
511528,CGI-001958 - DOGGL - Automation - Resend messages,0
510085,CGI-001776 - Brico Rad - Do not propose Multi order pickholder that is dropped off.,2
508935,CGI-002067 - WONDERBOFAR - Multiples labels printed for one outbound,0
512506,CR 32323 : Hash in UAT incorrect,0
488670,API Get Parcel provide result NULL,4
489163,configDetailBarcodes - Invalid Request Body,1
469906,CGI-002222 - BAUHAUS - Loading Counter of Holders,0
511860,CGI-002219 API Item configdetailId not filled on POWAPIConfigDetBarcode,1
489195,"temperatureZones,colors, sizes, designs, models - Invalid Request Body",2
509383,CGI-002250 - Skatepro - Fields not present on configuration card,0
509379,CGI-002250 - Skatepro - Did not get any txt,0
512485,CGI Maintenance : Assignments are shown twice,0
508296,CGI-002250 -  ACTIONLEH - Outgoing messages not sent to external,1
489180,comments - Invalid Request Body,1
510984,stockChanges (outbound) - transportId must be provided to get the parcel data,0
512547,CGI-002222 - BAUHAUS - Restore all old IDs Part 2,0
507236,CR 33065 - PICKEDITEMLABEL not printed,1
510215,CGI-002071 - NEW ERA - API - skuQtyPerUnit missing on configDetails,0
509082,CGI-002226 - Beliving - # Units to do not calculated correctly on queuegroup overview - fix,0
510885,CGI-001773 - KAZ - Additional error paper printed while printing loading order,0
509376,Labels not printed for PDF,0
512572,CGI-002250 -  ACTIONLEH - Outgoing messages not sent to external,0
511536,CGI-001939 - AddressReference mismatch definition vs BC,1
486901,systemId missing in stockChanges responseBody,0
486720,Remove documentReference on stockChanges,0
510217,"CGI- 001998 - BDEF - DECLASSERING: DOG mapping split: Disposal reference x type x NSN x Store ",0
510346,"HYPERCARE - CGI-002129 - DEELUXE - Queues - Totals Picking summary doesn't adapt to applied filters anymore ",0
512502,CGI-001776 - Brico Rad - Downgrade 510085 to UAT,0
511884,CGI-002222 - BAUHAUS - Promesys Scheduler Tasks in Error,0
488870,POST Item - API Layer - itemGroup - Invalid Request Body,2
463788,CGI-002068 - WONDERBOX BER - PPLCON error mails for outbounds that are not loaded,1
512744,CGI-002142 - GildanUS - Changing fields in POWER Setup,0
511252,Delonghi - PRMMenu_Summary - Error Pop-up,1
508287,CGI-002190 - Zinzino FAR - 28 - Error message when Booking received stock,0
511871,"CGI-001946 - Velgen : New Power : no SDBL031 sent ",0
511327," TRI-Sorter Sortout by - SPLIT BY CUSTOMER REFERENCE 1",0
512800,CGI-001958 - DOGGL - Update Queue,0
512557,CGI-002219 POW2API Invalid QtySKUPerUnit [item config detail] - QtySKUPerUnit should be greater than 0,0
510540,CGI-001773 - KAZ - Default item not available for filtering and linking in Excel Wizard,0
511332,"CGI-002175 ManoMano PRD - 14 - Interface line in error 'Unhandled Exception' ",0
512874,CGI-002175 ManoMano PRD - 15 -PICKING LINES IN WMSINTERFACE,0
512158,"DGDoc pup-up message shown when ARD group of the Item is empty ",0
509826," [CGI-Helpdesk Incident# 11063041 - [BE-GNT Stiga New Power] - [Cycle Count– error: Application received a faulty (internal server error) response from remote serve] ",0
509884,CGI-002190 - Zinzino - 35 - Bottom barcode on shippinglabel with transporter MYPACK not same width as PRD. Both printed from Power and P2L not OK.,1
512873,CGI-001958 - DOGGL - Automation - Resend messages,0
508105,"HYPERCARE - CGI-002129 - DEELUXE - 2 replenishment queues triggered at same time for 1 location ",0
511533,"CGI-002226 - Beliving - Bad Data, inspection queues with type queue group ""Batch picking"". ",0
486755,CGI-002228 - CHR SPARE - Excel Wizards - Pivot table is no longer the first selected sheet,0
488266,CGI-002228 - CHR SPARE - Special Characters added after Upload of Destination,0
487490,CGI-002185 - Dupont FZ - upload stock 'in stock' tab on TRI card,0
512882,CGI-001776 - BRICO - SMC HYPERCARE - Issue with D060 Mass creation tool,0
508823,CGI-002250 - Delonghi - add to close pick holder error location blocked for putaway,1
512574,"CGI TT - BaselineTwo - TST - BC - Launching batch picking QG leads into error [Wrong value for an input parameter in procedure ""IsComponentUsedInQueueGroupKey"" (of codeunit ""POWER Queue Group"").]",1
510787,HELPDESK 2023 - BDEF - PRD RF scan holder error: the RF android application is not compatible with your version of power,0
510956," [CGI-Helpdesk Incident 11064080] - [TH-MDC EDC GZ New Power] - Create Cycle Count– Error Upload ",0
463972," [CGI-Helpdesk Problem# 10989] - [VOLVO] - [Closed TROs with incorrect status of goods] ",0
512949,CGI-001958 - DOGGL - Automation - Resend messages,0
508537,Create correct Move master transfer interface line.,0
511053,CGI-001773 - KAZ - Transport  to launch shows to do but all picking queue's are on done,0
512598,"CGI TT - Baseline - TST - RF - Filtering by Pickzone,Customer,Batch number and Date To Load doesn't find the QG at all",0
512636," [CGI-Helpdesk Incident# 11064132] - [Polaris] - [Shipping label printing – error when printing shipping label due to special character] ",0
508838,CGI-002250 - Delonghi - Assembly Take in - Extra screen,2
509430,CR32547 - Boardriders - Empty Exapaqlabel printed after every packing,0
511906,CGI-002219 API2POW API Comment Line not synched with POWER,1
513133,CGI-001958 - DOGGL - Automation - Resend messages,0
512195,CGI TEST TEAM - BASELINETWO - TST -  RF Stock - Cannot select Customer and add Stock Successfully,0
512838,"Intergamma - DAIKIN - The length of the string is 13, but it must be less than or equal to 10 characters. Value SUPERHOLDERQG",0
471366,CR 32970 - GildanUS - TRO DT Departed not editable after closure,0
513105,BR UAT orders do not insert in BC after uat's overwrite.,0
513322,CGI-Helpdesk - Boardriders - EDIs are not being picked up / UAT,0
512592,API ITEM Comments not syncronized to POWER.,0
510813,API2POW Change/Update VASCode not working,0
511422,CGI-002250 - SERAX - Content sheet is not matching PRD,0
507171," [CGI-Helpdesk Problem# 11012] - [BE-KI Polaris New Power] - [RF Repack– Error: Unallowed situation found in: CU 82105] ",0
510500,CGI-002250 - Skatepro - Batch Picking issue,0
510019,CGI-002250 - Skatepro - CC issue,0
510241,CGI-001773 - KAZ - UAT - SDBL013 Dotnet Error,0
508804,"CGI-002071: Tag ""IsLastHolder"" is missing from xml, Holderinfo created when holder is not the last one",2
510794,CGI-002250 - Delonghi - Centiro triggering error via Postal code - no error and packed without error,1
514282,CGI-002250 - Skatepro - Problem button 'not enough stock' doesn't exist,0
513365,CGI-002250 - Skatepro - Batch picking not sorted in order of priority,0
514390," [CGI-Helpdesk Incident# 11067554] - [UAT BE-KI Initial New Power] - [Print Delivery Note – Wrong Date de Chargement] ",0
512512,"CGI-002190 Zinzino - 42- Barcode shipping label not filled in on holder for Centiro carriers ",0
512896,"CGI-002067 - WONDERBOFAR - EDI ERROR ITEMS ""WE COULD NOT UPDATE THE DATA RIGHT NOW. PLEASE TRY AGAIN""",0
514240,CGI-001958 - DOGGL - Update BWN records,0
514228,CGI-001958 - DOGGL - Automation - Resend messages,0
513083,CGI-001776 - BRICO - RAD HYPERCARE - SMC to RAD ASN - Difference between what's loaded in SMC and the expected received in ASN in RAD,0
514296,CGI-002250 - Skatepro - Superholder is not visible in the hamburger menu,0
